model,metric,n_folds,mean,std,ci_low,ci_high
boosting,roc_auc,5,0.78,0.007071067811865481,0.7712201096691492,0.7887798903308508
boosting,pr_auc,5,0.552,0.01303840481040527,0.535810682152913,0.568189317847087
boosting,log_loss,5,0.544,0.0054772255750516665,0.5371991261934175,0.5508008738065826
boosting,brier,5,0.18,0.0,0.18,0.18
boosting,f1,5,0.5360000000000001,0.008944271909999166,0.5248942195792089,0.5471057804207914
boosting,balanced_accuracy,5,0.716,0.008944271909999166,0.7048942195792087,0.7271057804207912
logistic,roc_auc,5,0.726,0.0054772255750516665,0.7191991261934174,0.7328008738065825
logistic,pr_auc,5,0.502,0.008366600265340763,0.4916114936631643,0.5123885063368357
logistic,log_loss,5,0.466,0.005477225575051635,0.45919912619341746,0.4728008738065826
logistic,brier,5,0.14400000000000002,0.005477225575051651,0.13719912619341745,0.15080087380658258
logistic,f1,5,0.36400000000000005,0.008944271909999168,0.35289421957920886,0.37510578042079123
logistic,balanced_accuracy,5,0.6079999999999999,0.004472135954999583,0.6024471097896043,0.6135528902103955
random_forest,roc_auc,5,0.78,0.007071067811865481,0.7712201096691492,0.7887798903308508
random_forest,pr_auc,5,0.5559999999999999,0.011401754250991356,0.5418428522301773,0.5701571477698226
random_forest,log_loss,5,0.466,0.005477225575051636,0.45919912619341746,0.4728008738065826
random_forest,brier,5,0.15,0.0,0.15,0.15
random_forest,f1,5,0.542,0.013038404810405309,0.5258106821529129,0.5581893178470871
random_forest,balanced_accuracy,5,0.704,0.005477225575051666,0.6971991261934174,0.7108008738065825
stacking,roc_auc,5,0.782,0.004472135954999583,0.7764471097896044,0.7875528902103957
stacking,pr_auc,5,0.562,0.00836660026534071,0.5516114936631644,0.5723885063368357
stacking,log_loss,5,0.426,0.005477225575051666,0.4191991261934174,0.43280087380658255
stacking,brier,5,0.132,0.004472135954999583,0.1264471097896044,0.1375528902103956
stacking,f1,5,0.488,0.008366600265340762,0.4776114936631643,0.4983885063368357
stacking,balanced_accuracy,5,0.664,0.005477225575051666,0.6571991261934175,0.6708008738065826
xrfm,roc_auc,5,0.73,0.007071067811865481,0.7212201096691492,0.7387798903308508
xrfm,pr_auc,5,0.48200000000000004,0.013038404810405307,0.465810682152913,0.4981893178470871
xrfm,log_loss,5,0.55,0.012247448713915901,0.5347927838620836,0.5652072161379165
xrfm,brier,5,0.152,0.004472135954999583,0.1464471097896044,0.1575528902103956
xrfm,f1,5,0.45,0.012247448713915879,0.43479278386208364,0.4652072161379164
xrfm,balanced_accuracy,5,0.646,0.0054772255750516665,0.6391991261934175,0.6528008738065826
