model,metric,n_folds,mean,std,ci_low,ci_high
logistic,balanced_accuracy,5,0.61,0.0,0.6,0.61
logistic,brier,5,0.14,0.01,0.14,0.15
logistic,f1,5,0.36,0.01,0.35,0.38
logistic,log_loss,5,0.47,0.01,0.46,0.47
logistic,pr_auc,5,0.5,0.01,0.49,0.51
logistic,roc_auc,5,0.73,0.01,0.72,0.73
random_forest,balanced_accuracy,5,0.7,0.01,0.7,0.71
random_forest,brier,5,0.15,0.0,0.15,0.15
random_forest,f1,5,0.54,0.01,0.53,0.56
random_forest,log_loss,5,0.47,0.01,0.46,0.47
random_forest,pr_auc,5,0.56,0.01,0.54,0.57
random_forest,roc_auc,5,0.78,0.01,0.77,0.79
boosting,balanced_accuracy,5,0.72,0.01,0.7,0.73
boosting,brier,5,0.18,0.0,0.18,0.18
boosting,f1,5,0.54,0.01,0.52,0.55
boosting,log_loss,5,0.54,0.01,0.54,0.55
boosting,pr_auc,5,0.55,0.01,0.54,0.57
boosting,roc_auc,5,0.78,0.01,0.77,0.79
xrfm,balanced_accuracy,5,0.65,0.01,0.64,0.65
xrfm,brier,5,0.15,0.0,0.15,0.16
xrfm,f1,5,0.45,0.01,0.43,0.47
xrfm,log_loss,5,0.55,0.01,0.53,0.57
xrfm,pr_auc,5,0.48,0.01,0.47,0.5
xrfm,roc_auc,5,0.73,0.01,0.72,0.74
stacking,balanced_accuracy,5,0.66,0.01,0.66,0.67
stacking,brier,5,0.13,0.0,0.13,0.14
stacking,f1,5,0.49,0.01,0.48,0.5
stacking,log_loss,5,0.43,0.01,0.42,0.43
stacking,pr_auc,5,0.56,0.01,0.55,0.57
stacking,roc_auc,5,0.78,0.0,0.78,0.79
